Country,Distancing policy ,Date Implemented,Date Ended,Source,
Ethiopia,Suspension of Ethiopian Airlines,20 March,,https://www.aljazeera.com/news/2020/03/coronavirus-travel-restrictions-border-shutdowns-country-200318091505922.html,
Gabon,Travel restrictions from China,7 February,,http://www.gouvernement.ga/5-conseil-des-ministres/3638-annee-2020/3661-communique-du-gouvernement-sur-l-epidemie-de-coronavirus/,
Gabon,Reduction of international flight frequencies to one per week,22 March,,,
Gabon,Schools closed,14 March,30 March,https://www.africanews.com/2020/03/14/covid-19-gabon-shuts-stops-issuing-tourist-visas-to-citizens-of-hardest-hit/,
Gambia,Suspension of all international flights,13 March,3 April,https://foroyaa.net/gambia-suspends-overseas-travels-by-public-officials-to-curb-spread-of-coronavirus/,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Gambia#cite_note-7
Gambia,Closure of shared border with Senegal except for essential services,23 March,21 April,https://www.aa.com.tr/en/africa/covid-19-gambia-senegal-to-close-border-for-21-days/1776298,
Gambia,Closure of all universities and schools,17 March,,https://www.aa.com.tr/en/africa/covid-19-gambia-senegal-to-close-border-for-21-days/1776298,
Gambia,Closure of airspace,23 March,13 April,https://www.aa.com.tr/en/africa/covid-19-gambia-senegal-to-close-border-for-21-days/1776298,
Gambia,Ban on all public gatherings of more than 10 people,18 March,,https://www.aa.com.tr/en/africa/covid-19-gambia-senegal-to-close-border-for-21-days/1776298,
Gambia,Closure of nonessential markets and shopping areas ,27 March,,https://www.freedomnewspaper.com/2020/03/27/barrow-declares-a-state-of-emergency-amid-corona-infection-cases-in-the-gambia/,
Gambia,State of emergency,27 March,,https://www.freedomnewspaper.com/2020/03/27/barrow-declares-a-state-of-emergency-amid-corona-infection-cases-in-the-gambia/,
Gambia,Provision of personal protective equipments,30 March,,https://reliefweb.int/report/gambia/gambia-receives-support-contain-spread-covid-19,
Ghana,Travel restrictions to foreigners,15 March,,https://citinewsroom.com/2020/03/coronavirus-travellers-from-countries-with-over-200-cases-wont-be-allowed-in-ghana/,
Ghana,Disinfections of local markets,23 March,24 March,https://www.graphic.com.gh/news/general-news/markets-in-accra-tema-being-disinfected-to-prevent-coronavirus-spread.html,
Ghana,Partial lockdown of some cities,30 March,13 April,https://www.graphic.com.gh/news/politics/accra-tema-kasoa-and-kumasi-under-partial-lockdown.html,
Ghana,Border closure,23 March,6 April,https://www.graphic.com.gh/news/general-news/ghana-news-coronavirus-borders-closed-directive-will-last-2-weeks.html,
Guinea,Airports closed,22 March,,https://www.aci-africa.aero/files/Status-COVID19-in-Africa-02-04-20.pdf,
Guinea-Bissau,All international flights suspended except cargo and humanitarian flights,03 April,,https://www.icao.int/safety/Pages/COVID-19-Airport-Status.aspx,
Guinea-Bissau,Closure of all borders,7 February,,https://www.gov.uk/foreign-travel-advice/guinea-bissau/coronavirus,
Guinea-Bissau,State of emergency,3 April,,https://www.garda.com/crisis24/news-alerts/329081/guinea-bissau-nationwide-state-of-emergency-in-effect-as-of-april-3-due-to-covid-19-update-1,
Guinea,State of emergency,27 March,27 April,https://www.panapress.com/Coronavirus-Guinea-declares-30-d-a_630634530-lang2.html,
Ivory Coast,Closure of all borders,22 March,,http://www.gouv.ci/_actualite-article.php?recordID=10972,
Ivory Coast,State of emergency and travel restrictions,23 March,,https://www.afrique-sur7.fr/439575-covid-19-isolement-abidjan-erreur,
Ivory Coast,Closure of borders,17 March,1 April,https://www.outlookindia.com/newsscroll/west-africa-clamps-down-on-borders-as-coronavirus-cases-rise/1765949/,
Ivory Coast,Closure of all public places,26 March,,https://www.afrique-sur7.fr/439575-covid-19-isolement-abidjan-erreur,
Ivory Coast,Nationwide curfew from 9pm to 5am,23 March,,https://www.reuters.com/article/health-coronavirus-senegal-ivorycoast/ivory-coast-senegal-declare-emergencies-impose-curfews-in-coronavirus-response-idUSL8N2BG9MO,
Ivory Coast,Restrictions of local transportations except for essential services,29 March,,https://www.afrique-sur7.fr/439633-tension-peage-isolement-abidjan,
Ivory Coast,Closure of schools and universities,17 March,16 April,https://www.outlookindia.com/newsscroll/west-africa-clamps-down-on-borders-as-coronavirus-cases-rise/1765949/,
Ivory Coast,"Closure of restaurants, clubs, cinemas",17 March,1 April,https://www.outlookindia.com/newsscroll/west-africa-clamps-down-on-borders-as-coronavirus-cases-rise/1765949/,
Kenya,Travel ban in and out of Kenya,"April 6, 2020",,https://www.nytimes.com/aponline/2020/04/06/world/africa/ap-af-virus-outbreak-africa.html,
Kenya,Suspension of international flights,"March 23, 2020",,https://www.nytimes.com/article/coronavirus-travel-restrictions.html,
Kenya,Closure of restaurants and bars except for takeout,"March 22, 2020",,https://www.kenya-today.com/news/breaking-8-new-coronavirus-cases-search-for-363-persons-who-had-contact-with-victims-continues,
Kenya,Nationwide curfew from 7pm to 5am,"March 27, 2020",,https://www.standardmedia.co.ke/article/2001366037/sticks-stones-and-broken-bones-in-first-curfew-night,
